A_time,B_time,A_time_numeric,B_time_numeric
1970-01-01 00:00:40.782219448,1970-01-01 00:00:38.933326156,40,38
1970-01-01 00:00:31.410918873,1970-01-01 00:00:29.337802281,31,29
1970-01-01 00:01:16.075286851,1970-01-01 00:01:01.739596355,76,61
1970-01-01 00:01:27.241084897,1970-01-01 00:01:16.127692919,87,76
1970-01-01 00:01:16.368582137,1970-01-01 00:00:26.342673714,76,26
1970-01-01 00:01:17.338279382,1970-01-01 00:01:09.645525675,77,69
1970-01-01 00:01:11.674095590,1970-01-01 00:00:53.997346615,71,53
1970-01-01 00:01:38.298389130,1970-01-01 00:00:01.146380575,98,1
1970-01-01 00:00:34.519052178,1970-01-01 00:00:08.245266072,34,8
1970-01-01 00:01:30.637430901,1970-01-01 00:01:18.911455839,90,78
1970-01-01 00:01:29.583173770,1970-01-01 00:00:28.520799366,89,28
1970-01-01 00:01:27.504270546,1970-01-01 00:01:17.730220257,87,77
1970-01-01 00:00:51.472581656,1970-01-01 00:00:27.315710550,51,27
1970-01-01 00:00:36.388216633,1970-01-01 00:00:01.731752468,36,1
1970-01-01 00:01:09.408989832,1970-01-01 00:00:04.053154530,69,4
1970-01-01 00:01:24.889563052,1970-01-01 00:00:46.750802708,84,46
1970-01-01 00:01:13.140371195,1970-01-01 00:01:09.485811120,73,69
1970-01-01 00:01:31.613716471,1970-01-01 00:00:41.125881858,91,41
1970-01-01 00:01:11.610334503,1970-01-01 00:00:34.418177724,71,34
1970-01-01 00:01:28.864332622,1970-01-01 00:00:25.126326080,88,25
1970-01-01 00:01:01.475684609,1970-01-01 00:00:50.961701438,61,50
1970-01-01 00:00:39.498274380,1970-01-01 00:00:02.937406650,39,2
1970-01-01 00:00:37.256437315,1970-01-01 00:00:16.250875165,37,16
1970-01-01 00:01:34.138100532,1970-01-01 00:01:14.379639035,94,74
1970-01-01 00:01:39.691478728,1970-01-01 00:00:09.202260042,99,9
1970-01-01 00:01:06.722963770,1970-01-01 00:00:20.034471610,66,20
1970-01-01 00:01:26.420736320,1970-01-01 00:00:07.777369250,86,7
1970-01-01 00:00:33.126691214,1970-01-01 00:00:32.666600229,33,32
1970-01-01 00:00:30.792075472,1970-01-01 00:00:20.205622290,30,20
1970-01-01 00:01:24.062404022,1970-01-01 00:01:20.721003294,84,80
1970-01-01 00:00:44.639663365,1970-01-01 00:00:13.140542275,44,13
1970-01-01 00:00:55.207902043,1970-01-01 00:00:06.521660558,55,6
1970-01-01 00:01:34.652707517,1970-01-01 00:00:51.178093045,94,51
